Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,No_of_Votes,Gross
The Shawshank Redemption,1994,A,142,Drama,9.3,80,Frank Darabont,2343110,28341469
The Godfather,1972,A,175,Crime,9.2,100,Francis Ford Coppola,1620367,134966411
The Dark Knight,2008,UA,152,Action,9,84,Christopher Nolan,2303232,534858444
The Godfather: Part II,1974,A,202,Crime,9,90,Francis Ford Coppola,1129952,57300000
12 Angry Men,1957,U,96,Crime,9,96,Sidney Lumet,689845,4360000
The Lord of the Rings: The Return of the King,2003,U,201,Action,8.9,94,Peter Jackson,1642758,377845905
Pulp Fiction,1994,A,154,Crime,8.9,94,Quentin Tarantino,1826188,107928762
Schindler's List,1993,A,195,Biography,8.9,94,Steven Spielberg,1213505,96898818
Inception,2010,UA,148,Action,8.8,74,Christopher Nolan,2067042,292576195
Fight Club,1999,A,139,Drama,8.8,66,David Fincher,1854740,37030102
The Lord of the Rings: The Fellowship of the Ring,2001,U,178,Action,8.8,92,Peter Jackson,1661481,315544750
Forrest Gump,1994,UA,142,Drama,8.8,82,Robert Zemeckis,1809221,330252182
"Il buono, il brutto, il cattivo",1966,A,161,Western,8.8,90,Sergio Leone,688390,6100000
The Lord of the Rings: The Two Towers,2002,UA,179,Action,8.7,87,Peter Jackson,1485555,342551365
The Matrix,1999,A,136,Action,8.7,73,Lana Wachowski,1676426,171479930
Goodfellas,1990,A,146,Biography,8.7,90,Martin Scorsese,1020727,46836394
Star Wars: Episode V - The Empire Strikes Back,1980,UA,124,Action,8.7,82,Irvin Kershner,1159315,290475067
One Flew Over the Cuckoo's Nest,1975,A,133,Drama,8.7,83,Milos Forman,918088,112000000
Hamilton,2020,PG-13,160,Biography,8.6,90,Thomas Kail,55291,
Gisaengchung,2019,A,132,Comedy,8.6,96,Bong Joon Ho,552778,53367844
Soorarai Pottru,2020,U,153,Drama,8.6,,Sudha Kongara,54995,
Interstellar,2014,UA,169,Adventure,8.6,74,Christopher Nolan,1512360,188020017
Cidade de Deus,2002,A,130,Crime,8.6,79,Fernando Meirelles,699256,7563397
Sen to Chihiro no kamikakushi,2001,U,125,Animation,8.6,96,Hayao Miyazaki,651376,10055859
Saving Private Ryan,1998,R,169,Drama,8.6,91,Steven Spielberg,1235804,216540909
The Green Mile,1999,A,189,Crime,8.6,61,Frank Darabont,1147794,136801374
La vita è bella,1997,U,116,Comedy,8.6,59,Roberto Benigni,623629,57598247
Se7en,1995,A,127,Crime,8.6,65,David Fincher,1445096,100125643
The Silence of the Lambs,1991,A,118,Crime,8.6,85,Jonathan Demme,1270197,130742922
Star Wars,1977,UA,121,Action,8.6,90,George Lucas,1231473,322740140
Seppuku,1962,,133,Action,8.6,85,Masaki Kobayashi,42004,
Shichinin no samurai,1954,U,207,Action,8.6,98,Akira Kurosawa,315744,269061
It's a Wonderful Life,1946,PG,130,Drama,8.6,89,Frank Capra,405801,
Joker,2019,A,122,Crime,8.5,59,Todd Phillips,939252,335451311
